1,白夜行,东野圭吾,978-84-01-56346-7,悬疑小说,100
2,解忧杂货店,东野圭吾,978-81-562-39874-6,悬疑小说,85
3,白色巨塔,山崎丰子,978-36-819-56274-9,现实主义小说,90
4,挪威的森林,村上春树,978-50-247-10863-0,爱情小说,95
5,百年孤独,加西亚·马尔克斯,978-64-935-68127-1,历史小说,110
6,飘,玛格丽特·米切尔,978-19-526-43781-2,爱情小说,105
7,活着,余华,978-73-618-95237-3,现实主义小说,120
8,平凡的世界,路遥,978-27-840-51369-4,现代小说,95
9,1984,乔治·奥威尔,978-56-329-87416-5,科幻小说,100
10,霍乱时期的爱情,加西亚·马尔克斯,978-92-715-36489-6,文学经典,85
11,战争与和平,列夫·托尔斯泰,978-48-623-19754-7,历史小说,90
12,哈利·波特与魔法石,J.K.罗琳,978-39-847-51236-8,传记,105
13,三体,刘慈欣,978-20-736-89145-9,科幻小说,95
14,岛上书店,加布瑞埃拉·泽文,978-15-529-64872-0,现实主义小说,110
15,小王子,圣埃克苏佩里,978-66-418-92571-1,童话,115
16,红楼梦,曹雪芹,978-72-530-31698-2,古典小说,80
17,围城,钱钟书,978-34-926-78152-3,悬疑小说,70
18,荆棘鸟,科尔普兰,978-28-419-73654-4,悬疑小说,75
19,红与黑,司汤达,978-62-835-49721-5,历史小说,80
20,哈姆雷特,莎士比亚,978-44-619-23784-5,戏剧,85
21,鲁滨逊漂流记,笛福,978-56-927-41368-6,冒险小说,90
22,简爱,夏洛蒂·勃朗特,978-23-518-69273-7,爱情小说,95
23,基督山伯爵,大仲马,978-57-726-81543-6,历史小说,100
24,哈利·波特与密室,J.K.罗琳,978-81-619-52874-5,奇幻小说,105
25,月亮与六便士,毛姆,978-67-319-48517-6,文学小说,110
26,白鹿原,陈忠实,978-29-418-64128-7,农村小说,115
27,荆棘鸟,科尔普兰,978-30-629-48732-8,悬疑小说,120
28,红与黑,司汤达,978-42-810-72918-9,历史小说,85
29,哈姆雷特,莎士比亚,978-93-518-61943-0,戏剧,90
30,鲁滨逊漂流记,笛福,978-62-729-81528-1,冒险小说,95
31,简爱,夏洛蒂·勃朗特,978-34-615-72918-7,爱情小说,100
32,基督山伯爵,大仲马,978-75-318-48721-1,历史小说,105
33,哈利·波特与密室,J.K.罗琳,978-29-420-82634-9,奇幻小说,110
34,月亮与六便士,毛姆,978-18-920-68317-9,文学小说,115
35,白鹿原,陈忠实,978-84-615-23784-5,农村小说,120
36,荆棘鸟,科尔普兰,978-39-518-61943-5,悬疑小说,85
37,红与黑,司汤达,978-18-426-74912-4,历史小说,90
38,哈姆雷特,莎士比亚,978-83-619-18732-7,戏剧,95
39,鲁滨逊漂流记,笛福,978-18-920-61943-5,冒险小说,100
40,简爱,夏洛蒂·勃朗特,978-46-729-81528-1,爱情小说,105
41,基督山伯爵,大仲马,978-83-619-24873-6,历史小说,110
42,哈利·波特与密室,J.K.罗琳,978-83-619-24873-6,奇幻小说,115
43,月亮与六便士,毛姆,978-30-426-74912-4,文学小说,120
44,白鹿原,陈忠实,978-75-832-48721-6,农村小说,85
45,解忧杂货店,东野圭吾,978-46-729-81528-1,悬疑小说,90
46,白色巨塔,山崎丰子,978-75-832-48721-6,现实主义小说,95
47,挪威的森林,村上春树,978-30-426-74912-4,爱情小说,100
48,百年孤独,加西亚·马尔克斯,978-83-619-24873-6,历史小说,105
49,飘,玛格丽特·米切尔,978-18-920-61943-5,爱情小说,110
50,活着,余华,978-30-426-74912-4,现实主义小说,115
51,平凡的世界,路遥,978-75-832-48721-6,现代小说,120
52,1984,乔治·奥威尔,978-83-619-18732-7,科幻小说,85
53,霍乱时期的爱情,加西亚·马尔克斯,978-46-729-81528-1,文学经典,90
54,战争与和平,列夫·托尔斯泰,978-30-426-74912-4,历史小说,95
55,哈利·波特与魔法石,J.K.罗琳,978-75-832-48721-6,传记,100
56,三体,刘慈欣,978-83-619-24873-6,科幻小说,105
57,岛上书店,加布瑞埃拉·泽文,978-30-426-74912-4,现实主义小说,110
58,小王子,圣埃克苏佩里,978-18-920-61943-5,童话,115
59,红楼梦,曹雪芹,978-75-832-48721-6,古典小说,120
60,围城,钱钟书,978-83-619-18732-7,悬疑小说,85
61,荆棘鸟,科尔普兰,978-30-426-74912-4,悬疑小说,90
62,红与黑,司汤达,978-18-920-68317-9,历史小说,95
63,哈姆雷特,莎士比亚,978-67-319-48517-6,戏剧,100
64,鲁滨逊漂流记,笛福,978-29-418-64128-7,冒险小说,105
65,简爱,夏洛蒂·勃朗特,978-42-810-72918-9,爱情小说,110
66,基督山伯爵,大仲马,978-93-518-61943-0,历史小说,115
67,哈利·波特与密室,J.K.罗琳,978-56-927-41368-6,奇幻小说,120
68,月亮与六便士,毛姆,978-30-629-48732-8,文学小说,85
69,白鹿原,陈忠实,978-34-615-72918-7,农村小说,90
70,荆棘鸟,科尔普兰,978-75-318-48721-1,悬疑小说,95
71,红与黑,司汤达,978-29-420-82634-9,历史小说,100
72,哈姆雷特,莎士比亚,978-18-920-68317-9,戏剧,105
73,鲁滨逊漂流记,笛福,978-75-832-48721-6,冒险小说,110
74,简爱,夏洛蒂·勃朗特,978-30-426-74912-4,爱情小说,115
75,基督山伯爵,大仲马,978-84-615-23784-5,历史小说,120
76,哈利·波特与密室,J.K.罗琳,978-46-729-81528-1,奇幻小说,85
77,月亮与六便士,毛姆,978-46-729-81528-1,文学小说,90
78,白鹿原,陈忠实,978-30-426-74912-4,农村小说,95
79,解忧杂货店,东野圭吾,978-83-619-18732-7,悬疑小说,100
80,白色巨塔,山崎丰子,978-18-920-68317-9,现实主义小说,105
81,挪威的森林,村上春树,978-30-426-74912-4,爱情小说,110
82,百年孤独,加西亚·马尔克斯,978-75-832-48721-6,历史小说,115
83,飘,玛格丽特·米切尔,978-39-518-61943-5,爱情小说,120
84,活着,余华,978-83-619-24873-6,现实主义小说,85
85,平凡的世界,路遥,978-30-426-74912-4,现代小说,90
86,1984,乔治·奥威尔,978-75-832-48721-6,科幻小说,95
87,霍乱时期的爱情,加西亚·马尔克斯,978-46-729-81528-1,文学经典,100
